IDDATE;FECHA;DIA;MES;ANIO;ESINICIOMES;ESFINDEMES;ESFESTIVO;MES_DESCRIPCION
1012023;1/01/2023;1;1;2023;S;N;S;ENERO     
2012023;2/01/2023;2;1;2023;N;N;N;ENERO     
3012023;3/01/2023;3;1;2023;N;N;N;ENERO     
4012023;4/01/2023;4;1;2023;N;N;N;ENERO     
5012023;5/01/2023;5;1;2023;N;N;N;ENERO     
6012023;6/01/2023;6;1;2023;N;N;N;ENERO     
7012023;7/01/2023;7;1;2023;N;N;N;ENERO     
8012023;8/01/2023;8;1;2023;N;N;N;ENERO     
9012023;9/01/2023;9;1;2023;N;N;N;ENERO     
10012023;10/01/2023;10;1;2023;N;N;N;ENERO     
11012023;11/01/2023;11;1;2023;N;N;N;ENERO     
12012023;12/01/2023;12;1;2023;N;N;N;ENERO     
13012023;13/01/2023;13;1;2023;N;N;N;ENERO     
14012023;14/01/2023;14;1;2023;N;N;N;ENERO     
15012023;15/01/2023;15;1;2023;N;N;N;ENERO     
16012023;16/01/2023;16;1;2023;N;N;N;ENERO     
17012023;17/01/2023;17;1;2023;N;N;N;ENERO     
18012023;18/01/2023;18;1;2023;N;N;N;ENERO     
19012023;19/01/2023;19;1;2023;N;N;N;ENERO     
20012023;20/01/2023;20;1;2023;N;N;N;ENERO     
21012023;21/01/2023;21;1;2023;N;N;N;ENERO     
22012023;22/01/2023;22;1;2023;N;N;N;ENERO     
23012023;23/01/2023;23;1;2023;N;N;N;ENERO     
24012023;24/01/2023;24;1;2023;N;N;N;ENERO     
25012023;25/01/2023;25;1;2023;N;N;N;ENERO     
26012023;26/01/2023;26;1;2023;N;N;N;ENERO     
27012023;27/01/2023;27;1;2023;N;N;N;ENERO     
28012023;28/01/2023;28;1;2023;N;N;N;ENERO     
29012023;29/01/2023;29;1;2023;N;N;N;ENERO     
30012023;30/01/2023;30;1;2023;N;N;N;ENERO     
31012023;31/01/2023;31;1;2023;N;S;N;ENERO     
1022023;1/02/2023;1;2;2023;S;N;N;FEBRERO   
2022023;2/02/2023;2;2;2023;N;N;N;FEBRERO   
3022023;3/02/2023;3;2;2023;N;N;N;FEBRERO   
4022023;4/02/2023;4;2;2023;N;N;N;FEBRERO   
5022023;5/02/2023;5;2;2023;N;N;N;FEBRERO   
6022023;6/02/2023;6;2;2023;N;N;N;FEBRERO   
7022023;7/02/2023;7;2;2023;N;N;N;FEBRERO   
8022023;8/02/2023;8;2;2023;N;N;N;FEBRERO   
9022023;9/02/2023;9;2;2023;N;N;N;FEBRERO   
10022023;10/02/2023;10;2;2023;N;N;N;FEBRERO   
11022023;11/02/2023;11;2;2023;N;N;N;FEBRERO   
12022023;12/02/2023;12;2;2023;N;N;N;FEBRERO   
13022023;13/02/2023;13;2;2023;N;N;N;FEBRERO   
14022023;14/02/2023;14;2;2023;N;N;N;FEBRERO   
15022023;15/02/2023;15;2;2023;N;N;N;FEBRERO   
16022023;16/02/2023;16;2;2023;N;N;N;FEBRERO   
17022023;17/02/2023;17;2;2023;N;N;N;FEBRERO   
18022023;18/02/2023;18;2;2023;N;N;N;FEBRERO   
19022023;19/02/2023;19;2;2023;N;N;N;FEBRERO   
20022023;20/02/2023;20;2;2023;N;N;N;FEBRERO   
21022023;21/02/2023;21;2;2023;N;N;N;FEBRERO   
22022023;22/02/2023;22;2;2023;N;N;N;FEBRERO   
23022023;23/02/2023;23;2;2023;N;N;N;FEBRERO   
24022023;24/02/2023;24;2;2023;N;N;N;FEBRERO   
25022023;25/02/2023;25;2;2023;N;N;N;FEBRERO   
26022023;26/02/2023;26;2;2023;N;N;N;FEBRERO   
27022023;27/02/2023;27;2;2023;N;N;N;FEBRERO   
28022023;28/02/2023;28;2;2023;N;S;N;FEBRERO   
1032023;1/03/2023;1;3;2023;S;N;N;MARZO     
2032023;2/03/2023;2;3;2023;N;N;N;MARZO     
3032023;3/03/2023;3;3;2023;N;N;N;MARZO     
